load	vo2	co2
-20	433	331
-20	452	357
-20	290	228
-20	416	321
-20	466	359
-20	408	319
-20	359	278
-20	363	283
-20	535	423
-20	379	306
-20	402	319
-20	403	324
-20	383	304
-20	485	391
-20	414	350
-20	333	274
12.26666667	950	783
13.63333333	766	642
14.43333333	955	766
12.03333333	724	591
12.4	971	728
13.7	796	690
13.06666667	738	587
12.63333333	882	668
13.7	797	591
13.46666667	918	701
13.2	806	616
13.13333333	896	714
13.8	729	582
15.4	986	792
21.4	842	695
19.93333333	826	657
18.83333333	970	787
19.33333333	795	678
18.83333333	820	686
18.1	938	728
18.76666667	902	762
19.33333333	809	656
18.8	952	744
19.43333333	888	728
18.9	933	762
18.83333333	869	688
19	851	731
19.3	866	669
18.93333333	972	791
18.5	917	760
31.9	1016	812
30.73333333	1061	809
31.23333333	739	594
32.53333333	1180	922
30.26666667	1096	890
30.4	1045	851
33.2	911	714
31.66666667	1031	823
34.53333333	768	628
38.6	1261	1016
37.1	870	717
38.9	1119	915
37.73333333	824	641
37.3	1335	1057
38.3	1106	903
39.46666667	1011	824
44	1094	860
47.63333333	974	815
47.3	1203	957
47.6	1139	907
48.06666667	1183	926
47.43333333	1221	966
46.06666667	1132	905
46.56666667	935	788
47.23333333	1392	1127
46	1141	952
48.6	1070	887
47.03333333	1223	1005
57.46666667	1117	952
57.16666667	1095	905
59.76666667	1207	932
58.9	1273	1020
59.2	1144	888
59.23333333	1239	958
58.06666667	1313	1059
60.7	1197	951
74.93333333	1434	1155
78.36666667	1282	1025
78.96666667	1419	1177
78.3	1445	1159
77.1	1443	1145
79.53333333	1505	1164
75.8	1531	1225
77.7	1445	1224
79.36666667	1403	1154
76.16666667	1531	1235
76.96666667	1442	1211
74.36666667	1105	919
95.46666667	1648	1344
101.4	1477	1187
100.1333333	1679	1339
101.9666667	1614	1293
98.03333333	1730	1499
98.5	1563	1320
97.56666667	1713	1491
97.93333333	1539	1301
97.33333333	1695	1414
95.73333333	1663	1409
89.73076923	1666	1420
