load	vo2	co2
82.26666667	1459	1314
79.03333333	1522	1371
80.53333333	1523	1396
81.06666667	1635	1574
81.06666667	1399	1353
80.96666667	1466	1401
81.46666667	1381	1246
81.06666667	1544	1497
82.06666667	1510	1455
80	1370	1322
81.03333333	1534	1438
79.26666667	1487	1451
80.76666667	1397	1362
81.16666667	1363	1285
84.93333333	1456	1326
83	1463	1354
85.7	1579	1420
84.36666667	1646	1542
84.7	1575	1467
91.73333333	1610	1505
93.5	1594	1487
92.63333333	1563	1467
89.46666667	1621	1515
92.5	1650	1568
91.53333333	1584	1495
92.9	1552	1485
92.53333333	1579	1501
94.1	1485	1451
94	1485	1414
94.4	1743	1634
94.43333333	1663	1579
96.33333333	1611	1549
101.5666667	1608	1499
100	1662	1587
100.5333333	1596	1528
100.5	1496	1352
100.7	1724	1596
103.6	1584	1466
105.2333333	1795	1655
105.6333333	1734	1607
104.4333333	1719	1617
103.2333333	1612	1458
106.2333333	1785	1665
105.7333333	1695	1583
109.5	1740	1642
107.1666667	1670	1559
109.3666667	1745	1633
108	1715	1626
108.7333333	1624	1494
118.2333333	1767	1612
118.4333333	1724	1563
118.0333333	1765	1594
114.8666667	1866	1713
115.5666667	1881	1744
116.0666667	1801	1706
119.0666667	1778	1645
117.6333333	1779	1637
119.1666667	1793	1635
117.7666667	1756	1598
119.9	1973	1813
120.3	1870	1793
125.2333333	1815	1724
127.2333333	1802	1681
125.8	1983	1853
128.5333333	1802	1712
126.2333333	2025	1859
126.1333333	2013	1920
125.8	1897	1859
126.9333333	1839	1733
127.7666667	1906	1855
129.3	1796	1703
129.2333333	1992	1886
129.1666667	1812	1734
133.7	1945	1801
136.6	1949	1815
135.2666667	2082	1940
134.7333333	2114	2041
135.5333333	2068	2020
134.8	2059	2044
138.5666667	1926	1876
142.9	1970	1879
141.8666667	1992	1874
143.4	1960	1792
140.1	2049	1863
140.2666667	2124	1971
141.0666667	2059	1956
143.1	2014	1875
143.6666667	2026	1908
145.3	2167	2049
147.6333333	2009	1861
146.6333333	2159	2000
150.0333333	2209	2064
152.3333333	2185	2079
150.6666667	2101	1983
149.8666667	2159	2019
150.4666667	2201	2010
151.4666667	2302	2176
149.5333333	2149	2008
154.8	2173	2042
157.2666667	2159	2066
156.3333333	2190	2072
156.0666667	2318	2196
157.9666667	2263	2121
155.9666667	2183	2098
156.7666667	2243	2135
156.7666667	2219	2056
157.9333333	2264	2129
158.8333333	2290	2152
159.2	2257	2027
164.0333333	2287	2118
165.6333333	2323	2176
170.7	2393	2193
165.0666667	2368	2213
161.3666667	2365	2208
164.7666667	2499	2385
167.3666667	2343	2237
169.6333333	2382	2216
170.2333333	2291	2117
171.8333333	2534	2398
170.2	2470	2380
170.4333333	2436	2353
174.6333333	2447	2356
174.4666667	2229	2094
174.4333333	2555	2378
178.4	2560	2476
175.8	2334	2151
177.7	2436	2191
175.1	2524	2311
176.0333333	2668	2494
180.6	2544	2419
179.3666667	2521	2373
182.2666667	2547	2373
181.6	2506	2339
184.1666667	2476	2290
183.3333333	2569	2351
179.7666667	2584	2402
184.4	2759	2578
184.3333333	2613	2534
187.4333333	2469	2356
190.9	2662	2468
191.5333333	2757	2597
189.0333333	2619	2515
189.2333333	2603	2417
185.7333333	2704	2575
190.2333333	2853	2763
195.1333333	2663	2599
195.0333333	2743	2639
193.5666667	2669	2567
192.5	2634	2527
193.1333333	2770	2643
195.0666667	2575	2411
196.8333333	2738	2527
199.1	2835	2653
197.8333333	2808	2666
198.9333333	2660	2514
201.5666667	2740	2553
199.6	2805	2550
201.2333333	2907	2690
204.3	3060	2927
204.4666667	2872	2831
207.3333333	2785	2651
207.1333333	2776	2664
207.2	2818	2638
207.4333333	2987	2846
207.9333333	2818	2648
209.9333333	2896	2754
208.6	2834	2645
209.1333333	2920	2807
210.2333333	2901	2750
215.7	2815	2670
213.4333333	2880	2671
214.9	2981	2795
215.5666667	2825	2625
211.4	2984	2709
214.1333333	2892	2654
218.5666667	2944	2709
223.2333333	3020	2820
219.9	2944	2698
218.8333333	3183	3028
217.6333333	3169	3044
217.7	2994	2826
223	3115	2946
226.3333333	3095	2989
226.9	3027	2910
227.0666667	3015	2854
226.6666667	3131	2985
225.7333333	2976	2802
227.7333333	3171	2966
225.7	3169	2964
231.7	3168	3043
229.9	3102	2933
228.2333333	3322	3219
229.3	3104	3025
235.9333333	3278	3237
237.4333333	3174	3122
240.5666667	3089	3021
236.1666667	3294	3161
237.7	3165	3044
234.5666667	3343	3189
235.1666667	3224	3074
238.8	3341	3182
240.6	3357	3186
241.0666667	3185	3069
242.6666667	3461	3287
241.2333333	3393	3323
240.7666667	3353	3301
240.4333333	3334	3248
245.5333333	3447	3444
243.3	3233	3182
244.3666667	3220	3049
244.4	3432	3281
242.8666667	3337	3225
252.0666667	3268	3151
247.4333333	3008	2779
253.7333333	3475	3163
253.3666667	3317	3077
250.4333333	3604	3389
254.0333333	3588	3446
257.5	3541	3392
255.9	3588	3618
251.3333333	3544	3499
252.9	3463	3375
258.9	3556	3502
256.9333333	3568	3504
261.9333333	3527	3530
260.4333333	3458	3399
263.1666667	3592	3520
259.2	3418	3321
261.0666667	3685	3618
263.0333333	3618	3586
265.4333333	3741	3666
260.0333333	3727	3715
265.8	3473	3379
266.8333333	3638	3516
267.8	3497	3368
272.1333333	3697	3627
271.4666667	3684	3662
277.0666667	3564	3509
271.3	3663	3627
271.7666667	3725	3604
267.4333333	3736	3741
269.7	3861	3910
272.9666667	3756	3811
276.2333333	3636	3634
275.5666667	3755	3701
274.9666667	3790	3766
272.5666667	3768	3755
278.3	3797	3806
277.9	3751	3745
285.2666667	3771	3719
284	3753	3728
272.2	3813	3747
280.5666667	3949	3963
