load	vo2	co2
-20	 	524
-20	493	482
-20	531	513
-20	499	484
-20	463	430
-20	554	517
-20	543	518
-20	518	502
-20	543	516
-20	513	476
-20	539	499
-20	535	494
-20	556	527
-20	492	464
-20	520	482
-20	525	489
13.76666667	1025	805
13.53333333	937	726
13.3	1041	844
14.1	921	744
13.63333333	937	731
13.66666667	986	795
13.26666667	1002	795
13.73333333	926	770
13.63333333	983	790
13.1	901	738
13.9	1048	846
14.16666667	918	749
32.73333333	1193	959
31.56666667	1145	949
32.53333333	1082	873
31.93333333	963	824
32.26666667	1308	1080
31.23333333	1052	899
32.36666667	1142	969
31.73333333	1107	944
33.96666667	1120	949
32.5	1173	1016
32.4	1121	969
32.1	1142	1007
42.36666667	1236	1096
40.66666667	1239	1146
41.6	1165	1065
41.06666667	1220	1123
40.66666667	1202	1127
40.56666667	1043	974
39.7	1293	1178
42.1	1057	985
40.4	1329	1212
41	1019	984
40.6	1280	1140
40.53333333	1233	1158
58.2	1132	1036
61.83333333	1266	1179
61.83333333	1293	1240
62.33333333	1286	1182
63	1264	1099
62.1	1287	1140
61.23333333	1344	1197
62.16666667	1341	1186
61.23333333	1209	1075
62.23333333	1542	1348
62.9	1288	1190
62.33333333	1395	1259
78.6	1253	1139
80.36666667	1396	1255
79.76666667	1451	1285
78.93333333	1385	1263
78.26666667	1454	1281
80.2	1507	1327
80.4	1519	1353
79.53333333	1341	1198
80.36666667	1548	1371
81.63333333	1579	1423
81.4	1498	1351
81.26666667	1621	1499
98.5	1401	1255
99.66666667	1587	1398
102.0666667	1630	1422
100.6	1572	1375
100.7333333	1800	1590
102.5666667	1691	1529
102.8333333	1764	1565
102.4666667	1701	1567
102.4666667	1682	1516
101.4666667	1792	1603
103.0666667	1796	1614
102.9333333	1745	1601
103.0333333	1772	1635
104.3333333	1674	1516
104.3666667	1789	1659
103.9666667	1754	1617
