work	 V'O2   	 V'CO2  
-20	362	274
-20	287	213
-20	269	199
-20	237	168
-20	478	330
-20	417	296
-20	418	309
-20	250	185
-20	287	206
-20	388	293
-20	240	179
-20	334	247
0	510	523
0	509	518
0	402	401
0	537	512
0	551	531
0	509	510
0	527	511
0	533	524
0	456	419
0	495	418
0	643	588
0	219	199
0	407	339
0	514	381
18.53333333	725	632
18.9	680	580
18.33333333	646	498
19.03333333	803	593
20.03333333	832	621
18.56666667	731	545
18.96666667	797	594
19.43333333	764	558
19.13333333	876	674
20.06666667	784	643
19.16666667	708	586
19.3	706	551
18.3	827	643
18.9	722	555
23.66666667	860	705
24.53333333	758	593
22.63333333	807	637
25.66666667	827	662
24.63333333	770	622
37.9	936	752
34.2	817	696
34.2	834	684
32.66666667	841	658
36.43333333	916	714
35.26666667	914	735
35.9	844	689
53.03333333	1018	851
51.7	984	782
50.16666667	1072	835
49.53333333	1139	862
50.96666667	901	704
50.56666667	1309	1040
51.93333333	1031	854
52.06666667	1036	831
51.33333333	1000	804
84.53333333	1394	1066
87.03333333	1338	1045
86.13333333	1429	1071
86.53333333	1458	1101
83.06666667	1367	1064
85.7	1301	1021
83.96666667	1455	1143
84.06666667	1377	1082
85.2	1456	1164
89.66666667	1433	1148
