work	vo2	co2
121.5666667	1892	1689
125.1333333	1920	1738
120.3	1911	1799
125.2666667	1753	1645
124.9666667	1784	1634
122.2333333	1878	1764
126.4	1818	1732
129.2666667	1699	1556
131.3	1919	1775
130.1	1829	1719
128.4666667	1844	1692
130.1666667	1898	1794
129.1333333	1973	1835
133.7333333	1934	1868
132.0333333	1844	1763
135.7	1821	1668
134.4333333	1937	1734
132.8333333	1994	1838
142.3666667	1962	1807
129.9	1889	1831
146.5	2046	1937
137.6333333	1901	1799
140	1923	1785
139	2017	1846
145.1	1955	1807
146.6666667	2077	1878
147.7666667	2025	1828
141.4333333	2057	1880
143.1	2048	1835
147.1333333	2149	2070
141.1333333	1987	1949
144.7333333	1916	1811
149.7666667	1949	1792
151	1991	1752
149.4333333	2092	1826
145.9	2175	1984
154.4333333	2100	1902
153.4	2113	1940
153.2333333	2122	1892
156.8333333	2136	1944
157.7666667	2205	2036
153.3666667	1895	1742
149.2	2647	2420
162.4	2282	2118
159.2	2326	2148
156.9333333	2204	2010
162.7666667	2464	2248
158.3333333	2173	2017
160.7	2274	2088
165.4333333	2248	2043
166.2666667	2345	2165
161.1666667	2232	2040
165.0666667	2267	2056
162.8	2227	2116
172.4333333	2287	2136
167.9	2203	1977
168	2418	2141
167.6666667	2381	2197
164.3	2346	2174
176.1666667	2356	2170
168.1	2329	2166
168.6	2323	2071
173.0333333	2394	2145
172.4	2408	2211
178.8333333	2424	2232
171.1333333	2406	2170
175.0666667	2426	2233
175	2290	2067
184.6666667	2373	2088
175.9333333	2352	2063
181.7	2670	2390
178.2333333	2333	2142
179.9333333	2597	2248
183.6666667	2437	2103
191.3333333	2719	2401
182.3666667	2590	2368
184.8666667	2540	2355
184.4333333	2521	2293
188.2	2574	2361
189.3666667	2524	2252
188.9333333	2566	2304
187.4666667	2600	2327
191.0333333	2585	2333
193.3666667	2564	2323
185.7333333	2561	2255
195.0333333	2604	2292
193.1666667	2814	2521
197.9	2650	2402
195.7333333	2507	2125
193.0333333	2803	2503
194.4666667	2646	2376
201.6333333	2721	2442
199.9	2423	2132
197.5	2905	2583
199	2743	2534
200.1333333	2798	2636
199.3333333	2550	2349
207	2966	2640
207.3	2820	2574
203.6	2793	2597
196.6666667	2579	2351
207.0333333	2835	2540
202.3666667	2887	2676
209.0333333	2750	2575
211.8666667	2722	2470
206.0666667	2844	2468
212.1	2932	2608
208.2333333	2859	2631
212.6	2717	2416
214.7666667	2933	2662
212.2	2870	2669
215.2333333	2826	2486
219.1	2968	2636
217.2333333	2970	2702
214.3	2967	2633
228.2666667	2912	2587
217.3333333	3093	2871
217.1	3023	2809
215.4666667	2906	2731
220.8666667	2877	2690
223.1	2967	2671
219.8	3196	2863
224.4333333	3088	2890
228	2892	2658
224	3044	2671
221.8666667	3125	2912
222.8	2965	2764
227.9	3005	2738
229.7666667	2986	2723
232	3052	2745
228.9666667	2997	2813
229.6	3156	2912
229.5333333	3056	2896
236.5666667	3166	2876
237.1666667	3072	2923
234.4333333	3055	2846
231.6666667	3059	2841
233.9666667	3063	2816
240.0333333	3073	2744
238.2	3229	2989
242.6666667	3197	2937
239.8333333	3217	2961
234.7	3210	3032
242.4	3052	2855
240.8333333	3211	2913
244.8	3210	2831
244.6	3346	3133
243.7666667	3167	2961
242.8666667	3356	3133
241.9666667	3357	3130
251.1	3215	2938
250.4666667	3394	3070
246.5333333	3209	2872
251.8	3263	2877
247.1	3286	2912
246.5333333	3398	3194
255.6333333	3334	3094
254	3443	3297
254.9333333	3243	2986
259.5666667	3444	3218
245.7666667	3314	3068
260.1	3443	3218
257.3333333	3509	3322
256	3474	3256
258.7333333	3489	3316
267.7666667	3356	2988
257.4	3690	3379
261.8666667	3428	3175
266.6	3564	3327
251.7	3481	3314
262.1	3402	3180
259	3389	3027
266.1333333	3532	3236
266.3	3541	3204
269.2666667	3573	3336
269.2666667	3649	3428
268.1333333	3613	3455
274.1666667	3565	3419
267	3561	3373
268	3649	3375
276.5666667	3808	3654
267.6333333	3609	3515
275.3666667	3548	3440
278.2333333	3645	3366
274	3581	3240
275.3	3742	3476
273.5333333	3737	3545
278.2333333	3577	3356
276.7666667	3746	3552
277.4666667	3418	3120
280.4	3682	3512
281.6333333	3788	3738
283.0333333	3643	3540
283.7333333	3731	3636
284.7333333	3764	3639
279.9333333	3737	3741
289.9333333	3794	3718
287.6333333	3860	3688
286.7	3838	3632
292.1666667	3837	3668
284.3333333	3617	3520
279.8666667	3934	3859
295.8333333	3803	3660
297.7333333	3819	3578
291.5666667	3816	3593
297.0333333	3877	3662
293.4333333	3809	3677
285.8666667	3911	3884
296.7	3868	3825
302.0666667	3916	3661
295.4666667	3967	3851
299.6333333	3783	3700
299.3666667	3621	3507
297.6333333	3917	3893
295.5333333	3898	3877
305.7666667	3820	3810
293.7	3975	3836
307.0333333	3921	3791
304.7333333	4061	4014
300	4072	4082
300.0666667	3985	3880
307.7333333	4028	3938
305.0333333	4071	4040
309.2	3996	3797
315.1	4085	4032
309.5	4053	4062
313.5333333	4003	3926
308.5666667	3988	4041
305.4	4056	4031
317.6333333	3986	3994
314.4333333	3907	3865
319.9	4126	4078
