load	vo2	co2
20	752	688
20	773	684
20	825	714
21	795	691
27	831	727
26	819	680
25	843	683
26	918	723
37	926	803
35	897	751
37	1061	879
38	998	806
59	1172	1082
60	1306	1197
64	1218	1071
71	1253	1133
69	1091	939
70	1496	1204
70	1386	1198
81	1379	1194
81	1390	1229
80	1335	1145
84	1531	1345
92	1409	1262
87	1447	1280
90	1483	1319
96	1439	1299
100	1387	1191
100	1593	1388
98	1537	1376
103	1602	1404
105	1600	1374
109	1649	1403
113	1706	1510
112	1628	1459
116	1776	1559
120	1709	1458
121	1639	1392
124	1896	1629
128	1837	1665
130	1757	1567
132	1687	1423
126	2060	1740
133	1942	1683
145	1870	1612
139	2063	1763
143	2054	1809
144	2066	1830
148	2018	1755
151	2076	1840
151	2006	1718
158	2244	1936
162	2072	1795
163	2250	1982
160	2338	2086
170	2297	2086
171	2313	2142
173	2262	2033
167	2264	2021
183	2389	2144
176	2449	2217
176	2393	2148
184	2441	2153
191	2539	2333
193	2528	2314
184	2690	2453
188	2503	2294
208	2575	2352
201	2676	2377
197	2644	2443
202	2797	2635
204	2702	2555
212	2682	2436
209	2807	2523
213	2783	2494
220	2990	2753
219	2842	2650
213	2958	2708
223	2868	2658
229	3082	2849
232	2958	2763
229	2940	2700
231	2976	2758
234	3067	2814
237	3022	2817
241	3098	2799
245	3044	2719
256	3063	2764
248	3268	2959
246	3361	3225
252	3145	2990
263	3421	3182
261	3489	3343
254	3320	3262
260	3376	3395
279	3377	3319
277	3506	3281
263	3554	3371
268	3597	3593
268	3480	3427
278	3440	3299
282	3498	3314
283	3420	3196
287	3691	3499
286	3698	3588
293	3642	3573
299	3807	3697
298	3653	3497
306	3906	3841
300	3910	3941
287	3849	3977
309	3867	3961
310	3899	3956
315	3928	3982
309	3876	3966
312	3899	4002
319	3907	3998
314	4035	4127
325	4056	4066
322	4079	4216
329	4156	4326
330	4097	4309
329	4112	4370
337	4221	4473
341	4252	4512
338	4010	4274
342	4342	4532
342	4331	4675
340	4311	4647
351	4365	4730
362	4379	4800
351	4390	4872
356	4412	4855
372	4446	4910
