load	vo2	co2
-20	601	466
-20	716	553
-20	525	418
-20	542	439
-20	520	418
-20	543	429
-20	612	507
-20	476	396
-20	504	408
-20	523	428
-20	541	437
-20	556	452
-20	646	537
-20	514	431
-20	534	450
-20	509	413
0	681	545
0	816	665
0	834	732
0	795	669
0	807	668
0	786	657
0	835	719
0	831	662
0	795	642
0	848	668
0	891	716
0	849	672
0	885	709
0	848	676
0	978	764
0	885	719
0	869	713
0	841	686
0	897	719
0	860	672
0	819	594
0	860	633
15.26666667	1024	814
14.43333333	923	810
14.56666667	981	771
13.66666667	921	711
14.36666667	1026	766
14.13333333	937	672
14.13333333	1053	793
13.66666667	1025	778
14.2	1063	776
15.13333333	1069	820
14.5	1026	782
14.6	992	763
13.66666667	1088	840
13.7	944	743
26.36666667	1168	919
27.9	1066	887
26.3	1090	878
27.2	1158	888
26.8	1084	857
27.13333333	1056	810
27.43333333	1125	893
26.73333333	1144	842
26.13333333	1103	844
26.43333333	1133	886
27.93333333	1046	815
43.56666667	1159	882
37.8	1118	820
39.93333333	1265	996
39.6	1238	994
39.8	1261	1002
38.86666667	1127	825
38.4	1251	960
39.8	1183	967
40.1	1139	916
41.03333333	1266	1011
41.26666667	1103	893
40.83333333	1325	1108
61.93333333	1353	1028
62	1385	1063
62.46666667	1465	1120
59.66666667	1356	1057
63.1	1450	1123
61.7	1408	1091
64.46666667	1459	1144
64.16666667	1429	1138
64.23333333	1455	1160
63.36666667	1488	1154
63.33333333	1466	1135
76.33333333	1513	1182
78.93333333	1457	1169
80.66666667	1541	1143
82.6	1659	1249
79.13333333	1720	1320
79.93333333	1569	1253
81.16666667	1600	1196
80.03333333	1685	1331
80.43333333	1585	1259
81.4	1617	1300
80.43333333	1531	1244
82.6	1629	1252
81.26666667	1649	1294
81.1	1597	1260
82.3	1621	1307
81.96666667	1629	1236
