load	vo2	co2
99.33333333	1643	1263
98.76666667	1697	1272
98.43333333	1679	1224
104.6333333	1672	1241
103.5666667	1795	1347
105.2666667	1799	1393
104.6	1811	1427
103.5666667	1756	1415
105.3333333	1779	1436
110.4333333	1745	1433
109.3333333	1704	1340
108.1	1745	1356
110.5333333	1809	1464
109.3	1828	1417
112.2333333	1857	1461
116.0333333	1805	1432
119.3666667	1905	1537
114.3333333	1846	1500
119	1962	1589
117.3666667	2008	1720
117.1333333	1966	1637
123.0333333	1876	1566
123.6333333	1929	1614
122.8666667	1857	1546
123	1967	1612
122.3333333	1884	1593
121.6	1890	1569
126.9666667	1987	1661
122.7333333	1980	1635
124.0666667	1912	1516
121.8666667	1903	1539
123.3	1916	1579
127.2666667	2012	1632
131.0666667	2087	1776
129.0333333	2103	1792
126.5333333	2011	1685
126.5666667	1970	1697
128.2333333	1998	1642
130.9666667	2055	1715
132.1333333	2087	1748
133.3	2149	1812
132.9333333	2101	1769
130.0333333	1997	1710
136.8	2048	1671
136.2	2108	1792
138.4	2040	1718
138.4333333	2144	1790
137.1666667	2037	1659
138.9333333	2175	1778
142.1	2119	1760
142.1333333	2158	1686
141.8666667	2197	1760
146.1	2269	1829
146.1333333	2280	1851
143.0333333	2258	1853
146.3666667	2175	1785
145.3666667	2250	1811
149.9	2203	1791
147.6	2281	1845
148.3666667	2254	1831
149.3666667	2230	1831
149.2333333	2243	1829
150.1333333	2365	1931
154.4666667	2307	1900
155.5333333	2283	1891
154.3	2319	1927
152.4333333	2228	1820
155.2333333	2236	1788
157.6666667	2393	1953
159	2487	2064
160.5333333	2471	2088
160.8666667	2427	2055
163.2	2051	1716
157.2	2494	1999
160.6333333	2429	1987
161.8666667	2405	1995
167.5	2404	1974
168.7333333	2503	2098
169	2480	2055
164.7333333	2403	1986
163.1666667	2420	2018
165.1333333	2359	1885
170.4666667	2626	2188
171.5333333	2525	2116
172.8666667	2541	2143
168.7666667	2485	2107
170.4666667	2469	2006
172	2482	1973
176.2	2559	2159
173.7666667	2482	2067
174.4333333	2452	2028
178.6666667	2470	1987
177.0666667	2547	2058
177.5333333	2686	2236
174.4333333	2654	2235
175.2333333	2532	2102
177	2498	2114
182.4666667	2574	2188
180.4666667	2432	2020
181.6666667	2783	2315
184.8	2616	2236
183.9	2692	2214
181.4666667	2614	2236
185.8666667	2698	2248
184.2	2555	2151
191.3666667	2703	2282
185.8	2621	2227
189.9333333	2741	2308
188.3333333	2641	2248
188.4333333	2462	1966
192.7333333	3120	2525
193.9	2767	2358
198.6333333	2769	2372
193.2333333	2727	2264
195.3	2702	2284
194.4333333	2745	2282
197.6333333	2772	2338
199.4333333	2736	2275
200.1333333	3001	2529
197.9333333	2912	2508
198.6	2792	2436
203.5	2754	2373
204.3333333	2883	2428
198.2	2883	2475
204.8666667	2885	2468
205.7	2736	2326
208.2	2946	2510
208.2	2962	2474
204.8333333	2960	2555
206	2608	2228
208.3666667	3030	2511
205.1	3047	2628
208.5333333	2873	2468
207.7333333	2927	2442
211.8666667	2909	2420
218.6	3051	2571
221.1333333	2969	2514
214.6	3046	2567
215.2666667	2727	2268
215.9666667	3355	2789
215.3666667	2977	2558
217.1333333	3105	2689
217.9666667	3070	2616
215.9	3052	2671
220.8333333	2944	2517
223.3333333	3043	2595
221.2666667	3121	2698
228.4	3144	2713
222.6	3160	2745
228.0666667	3118	2677
221.1	3220	2756
221.7666667	3161	2689
218.6333333	3267	2796
226.5333333	3157	2727
229.8	3100	2756
232.2666667	3262	2830
233.9	3171	2740
231.6333333	3251	2737
230.8666667	3303	2803
233.8333333	3316	2870
237.6666667	3276	2858
230.4666667	3051	2606
230.1333333	3429	2867
233.0333333	3327	2903
232	3298	2870
242.2666667	3395	2950
241.8666667	3305	2859
241.2333333	3242	2737
245.9	3454	2902
237.8666667	3496	3064
240.9	3368	2997
244.9333333	3365	2935
247.7	3341	2909
243.9333333	3506	3110
239.1	3162	2677
243.6	3512	3044
245.5666667	3418	3004
248.9	3322	2922
251.2	3234	2800
250.3	3424	2985
251.3666667	3427	3004
255.1	3474	2988
250.5666667	3498	3155
249.1666667	3564	3201
255.4666667	3421	3014
258.3666667	3593	3204
255.5333333	3498	3148
259.2	3595	3252
259.7666667	3513	3180
260.9	3463	3117
259.5333333	3457	3111
259.2666667	3507	3108
260.0333333	3547	3156
253.8333333	3551	3204
262.1666667	3513	3143
266.1333333	3486	3121
266.1666667	3496	3140
263.6	3585	3123
264.4666667	3528	3239
269.2666667	3719	3301
265.4333333	3497	3159
267.6666667	3329	2771
274.6	3990	3568
267.0333333	3829	3534
268.5333333	3797	3425
267.9	3869	3574
265.6666667	3670	3438
277.0666667	3910	3610
279.8	3771	3481
282.5	3804	3487
269.7666667	3843	3555
274.0666667	3803	3563
279.4666667	3707	3393
273.4666667	3793	3425
277.3333333	3876	3569
281.5333333	3757	3431
280.7	3799	3452
277.4666667	3827	3535
278.6333333	3774	3464
286.4	3706	3405
284.6333333	4115	3717
285.4666667	3954	3683
286.5333333	3885	3651
283.1666667	3986	3748
286.7	3849	3614
296.0666667	3842	3577
291.9333333	3764	3405
292.2	4195	3914
290.4333333	4011	3801
287.3	3893	3682
296.6666667	4044	3811
296.1	3913	3760
298.6	3951	3722
297.6	3976	3879
293.4	4116	3823
292.0666667	4005	3905
290.1	3905	3713
304.4	4119	4067
300.0666667	4076	3982
301.6666667	3936	3846
294.6666667	4074	3932
299.8666667	4037	3911
303.7333333	4010	3889
