load	vo2	co2
-20	461	377
-20	341	279
-20	482	390
-20	515	456
-20	401	346
-20	441	376
-20	470	408
-20	396	351
-20	335	299
-20	459	413
-20	320	275
-20	429	371
-20	473	420
-20	466	451
-20	275	265
-20	329	306
0	472	439
0	476	420
0	1019	889
0	399	359
0	744	690
0	696	683
0	552	545
0	593	578
0	510	491
0	589	598
0	581	508
0	625	523
0	662	556
0	745	668
0	702	635
0	665	604
0	624	580
0	559	512
0	649	582
0	657	585
13	767	676
14.86666667	765	645
13.86666667	833	698
14.5	850	709
15.7	792	662
14.56666667	871	751
14.56666667	799	695
14.96666667	770	684
13.6	822	711
14.7	792	677
13.53333333	803	682
13.3	794	694
13.73333333	715	629
17.2	782	679
30.23333333	771	684
26.3	865	766
26.96666667	804	703
27.33333333	909	787
25.83333333	807	703
27.83333333	920	788
25.8	825	718
26.36666667	869	753
26.96666667	819	717
26.73333333	907	818
26.63333333	755	669
25.26666667	805	667
27.5	885	725
26.56666667	932	825
35.5	833	751
40.36666667	896	809
38.26666667	881	762
38.7	868	722
39.16666667	1001	802
39.26666667	1059	882
39.9	1003	868
39.26666667	890	775
39.06666667	899	779
38.83333333	1086	865
39.63333333	1063	885
39.36666667	1096	989
40.3	869	792
39.5	923	811
40.43333333	950	805
60.6	1219	1065
68.43333333	1141	1046
69.1	1056	937
72.53333333	1280	1071
74.16666667	1423	1235
73.1	1430	1293
66.8	1128	961
71.6	1322	1139
86.53333333	1303	1156
87.2	1321	1186
85.9	1270	1093
88.33333333	1405	1197
84	1526	1275
86.03333333	1537	1296
89.63333333	1610	1425
88.06666667	1540	1420
88.5	1417	1345
88.36666667	1366	1216
87.3	1562	1402
90.66666667	1281	1121
85.76666667	1634	1375
87.13333333	1553	1394
86.46666667	1545	1430
85.06666667	1520	1440
83.73333333	1500	1438
84.78571429	1339	1287
