load	vo2	co2
79.76666667	1343	1037
84.63333333	1398	1130
84.6	1373	1110
84.13333333	1480	1242
86	1422	1227
86	1382	1207
87.76666667	1420	1274
86.66666667	1370	1219
85.06666667	1361	1146
88.9	1480	1270
90.46666667	1532	1312
86.1	1486	1337
92.03333333	1396	1281
91.46666667	1455	1341
94.63333333	1395	1278
93.63333333	1354	1242
93.53333333	1575	1428
95.1	1437	1332
97.56666667	1429	1322
98.23333333	1606	1463
98.96666667	1563	1476
99.33333333	1485	1376
97.6	1472	1361
99.53333333	1372	1227
99.2	1610	1435
102.2333333	1697	1538
103.3	1573	1512
105.2333333	1516	1471
107.8666667	1623	1557
104.3666667	1558	1487
106.7666667	1526	1446
108.8666667	1421	1321
109.5666667	1728	1582
109.0666667	1656	1542
109.8666667	1818	1733
113.1333333	1570	1588
111.8	1691	1618
111.7	1696	1604
114.9333333	1672	1578
114.8666667	1734	1727
115.5333333	1480	1447
120.2333333	1658	1542
110.3333333	1836	1748
117.4	1552	1479
118.5666667	1624	1470
117.4333333	1676	1482
118.4	1922	1777
116.8	1760	1629
123.4333333	1828	1695
124.8333333	1933	1816
125.6333333	1631	1561
127.7	2039	1917
118.3666667	1603	1589
125.2666667	1655	1541
130.5	1634	1514
132.2666667	1908	1721
135.6666667	1868	1721
133.4	1895	1756
130.3	1882	1753
133.1	1689	1576
131.3333333	2093	1940
131.6666667	1762	1687
135.3	1859	1773
133.9666667	2045	1897
136.0333333	1998	1901
134	1839	1802
132.7	1766	1716
140.2333333	1899	1805
145.5666667	1898	1805
144.2666667	1862	1770
141.2333333	1916	1803
145.2666667	2291	2144
142.8666667	2160	2081
139.2	1886	1824
141.9666667	1951	1861
143.7333333	1949	1856
142.0333333	1986	1919
144.7333333	2107	2064
146.7666667	1910	1865
151.1	2043	1943
149.4666667	2232	2155
150.0666667	1920	1840
150.8333333	2293	2080
149.3	2507	2662
151.4666667	2024	2259
158.4333333	1829	1975
156.0333333	2331	2420
155.0666667	2038	2134
155.5	2049	2105
152.7	2320	2301
156.6	2063	2228
163.5333333	2136	2104
164.5333333	2165	2242
162.3333333	2138	2218
160.2333333	2273	2302
163.8	2238	2187
161.5	2242	2247
162.8	2066	2070
164.4666667	2342	2364
161.8333333	1991	2014
167.6333333	2201	2117
166.3666667	2375	2305
166.1	2310	2316
166.5333333	2125	2179
167.3333333	2269	2211
169.8333333	2216	2207
166.3666667	2305	2246
174.0666667	2345	2329
171.5	2076	2025
173.4	2294	2104
171.9666667	2340	2245
175.1333333	2223	2132
172.0333333	2324	2234
175.6333333	2250	2128
178.1333333	2420	2374
178.5666667	2391	2366
182	2421	2447
178.5666667	2313	2302
181.6	2282	2111
177.7666667	2523	2513
180.9666667	2357	2399
183.5	2327	2285
181.2333333	2419	2260
184.5	2580	2503
185.7	2377	2292
189.4333333	2607	2614
188.8666667	2467	2519
200.3333333	2426	2415
191.4	2394	2365
193.0666667	2591	2546
187.9	2440	2436
188	2589	2450
194.8	2371	2352
194.1666667	2575	2329
194.6666667	2740	2646
195	2575	2614
192.6333333	2533	2534
195.5333333	2592	2452
195.8333333	2785	2760
195.3333333	2525	2510
204.1666667	2583	2473
200.7	2574	2555
197.8	2305	2293
201.6666667	2862	2665
203.3333333	2545	2436
201.0666667	2745	2692
202.9666667	2667	2582
203.3666667	2591	2503
204.4666667	2578	2527
210.7333333	2930	2865
205.8	2594	2570
207.5666667	2737	2634
211.2	2814	2761
208.9666667	2695	2749
212.7666667	2796	2703
210.9666667	2742	2776
215.5333333	2569	2602
214.3333333	2947	2886
223	2820	2806
221.5333333	2880	2878
216.7333333	2905	2945
217.2666667	2672	2688
215.2666667	2972	2957
214	2741	2681
212.9	3108	3140
215.1	2880	2994
216.0333333	2734	2779
221.5333333	2815	2754
226.2333333	2773	2639
225.3333333	3144	3066
220.8666667	2969	3013
222.8333333	2847	2887
225.8666667	2934	2861
225.2666667	2824	2817
231.5	2981	2946
231.2	2960	2838
227.4333333	3092	3064
232	2973	2927
235.5	3138	3074
233.8	2966	2929
233.7666667	3047	3031
224.7333333	3037	2980
230.5	3117	3110
233.9	2987	2930
234.6	3015	2971
236.0333333	3012	3053
236.4666667	3112	3008
241.8	3105	3128
243.5	3066	3098
237.2	3056	3006
239.3666667	3182	3204
250.6666667	3104	3120
239.7333333	3332	3329
242.1666667	3079	3196
241.7	3250	3328
245.7	3150	3241
246.5666667	3294	3427
245.5666667	3254	3361
245.5666667	3196	3293
245.5666667	3091	3096
247.3666667	3256	3216
252.8333333	3293	3308
247.8	3337	3360
253.6	3296	3300
248.9	3310	3282
