load	vo2	co2
NaN	634	783
NaN	537	662
NaN	715	834
NaN	1887	1754
NaN	2874	2297
NaN	3080	2723
NaN	3262	3027
NaN	3282	3334
NaN	2907	2920
NaN	3372	3317
NaN	3110	3196
NaN	2949	2863
NaN	3393	3415
NaN	3333	3490
NaN	3195	3248
NaN	3412	3294
NaN	3670	3759
NaN	3524	3723
NaN	3561	3719
NaN	3682	3936
NaN	3742	4057
NaN	3731	4130
NaN	3825	4159
NaN	3825	4100
NaN	3941	4411
NaN	4021	4579
NaN	3981	4583
NaN	3950	4602
NaN	4124	4871
NaN	4186	5001
NaN	4206	5080
NaN	4179	5112
NaN	4316	5302
NaN	4387	5436
NaN	3824	5130
NaN	4390	5556
NaN	4408	5568
NaN	4477	5653
NaN	4424	5585
NaN	4511	5708
NaN	4042	5156
